cell,x,y,z,cluster,n_transcripts,density,elongation,area,avg_confidence,avg_assignment_confidence,max_cluster_frac,lifespan
CR0384e620e-116,784.42734375,370.315625,17.98828125,1,20,3.709,3.462,5.392,0.999,0.796,0.95,50
CR0384e620e-117,794.8480718085107,360.30219414893617,16.74035904255319,3,47,3.669,3.834,12.81,0.9994,0.8004,1.0,50
CR0384e620e-118,759.155153508772,389.5104166666667,17.463678728070175,3,114,1.984,1.756,57.47,0.9867,0.9402,0.8070175438596491,50
CR0384e620e-119,790.9657012195122,361.1663490853659,18.48926575203252,4,246,9.159,2.948,26.86,0.9992,0.9102,0.991869918699187,50
CR0384e620e-120,732.2796415441177,425.7047334558824,17.73391544117647,3,136,8.208,3.504,16.57,0.9993,0.8771,0.9926470588235294,50
CR0384e620e-121,728.7823660714286,428.94900948660717,18.611328125,2,224,6.391,1.489,35.05,0.999,0.9435,0.8794642857142857,50
CR0384e620e-122,800.3014768835617,355.24379280821915,17.134631849315067,4,146,2.708,2.258,53.92,0.9981,0.9204,0.958904109589041,50
CR0384e620e-123,737.4069102112676,419.35717429577466,17.69476232394366,3,71,2.585,3.819,27.47,0.9928,0.8972,0.8309859154929577,50
CR0384e620e-124,743.3704044117648,414.89430147058823,17.23988970588235,2,17,2.062,1.703,8.243,0.9917,0.8776,0.8235294117647058,50
CR0384e620e-125,726.677734375,430.279296875,16.615234375,4,8,12.27,7.581,0.6521,0.995,0.775,1.0,50
CR0384e620e-126,760.4872159090909,397.3103693181818,17.921875,3,22,2.201,2.635,9.997,0.9776,0.8909,0.6363636363636364,50
CR0384e620e-127,771.640625,386.359375,17.3671875,2,2,NaN,NaN,NaN,0.9469,1.0,0.5,50
CR0384e620e-128,775.3663228754941,381.877748270751,18.546442687747035,3,506,6.901,1.059,73.32,0.9983,0.9582,0.9683794466403162,50
CR0384e620e-129,746.7022058823529,412.4094669117647,17.106617647058822,4,34,1.937,1.895,17.55,0.9847,0.9094,0.5588235294117647,50
CR0384e620e-130,735.8227306547619,423.9213169642857,17.021763392857142,3,84,5.805,1.753,14.47,0.9993,0.8643,1.0,50
CR0384e620e-131,792.0296770134228,366.2871224832215,18.120805369127517,4,298,6.314,1.239,47.2,0.9983,0.8395,0.9865771812080537,50
CR0384e620e-132,765.519870923913,398.2083899456522,17.880095108695652,3,92,2.049,6.547,44.9,0.9863,0.995,0.6847826086956522,50
CR0384e620e-133,781.8375,383.6109375,16.7890625,1,10,2.773,6.114,3.606,0.9708,0.762,1.0,50
CR0384e620e-134,754.109375,406.015625,18.263671875,4,8,8.266,3.775,0.9678,0.9956,0.86,0.75,50
CR0384e620e-135,726.255859375,433.451171875,17.099609375,3,8,14.08,2.215,0.5682,0.9984,0.925,1.0,50
CR0384e620e-136,769.4950520833333,392.1625,17.6359375,3,60,2.545,4.781,23.58,0.9777,0.9057,0.75,50
CR0384e620e-137,810.0329861111111,349.2986111111111,16.65798611111111,2,9,4.967,4.516,1.812,0.816,1.0,0.5555555555555556,50
CR0384e620e-138,810.3263888888889,352.25868055555554,16.96875,4,9,7.109,4.954,1.266,0.9161,1.0,0.5555555555555556,50
CR0384e620e-139,795.6197916666666,362.86284722222223,21.322916666666668,3,9,13.29,1.944,0.6771,0.9994,0.7089,1.0,50
CR0384e620e-140,801.65625,357.953125,20.6484375,2,2,NaN,NaN,NaN,0.995,1.0,0.5,50
CR0384e620e-141,805.8257515822785,355.1002768987342,17.44560917721519,3,79,5.006,1.129,15.78,0.9989,0.8982,0.8607594936708861,50
CR0384e620e-142,814.70234375,351.38515625,16.90625,4,20,1.693,1.812,11.81,0.9046,0.976,0.75,50
CR0384e620e-143,743.923828125,418.56640625,17.045572916666668,1,24,2.168,1.647,11.07,0.975,0.9292,0.8333333333333334,50
CR0384e620e-144,746.703367248062,424.16981589147287,17.131661821705425,3,129,4.057,1.672,31.8,0.9969,0.8605,0.9767441860465116,50
CR0384e620e-145,735.7201450892857,428.5044642857143,17.810686383928573,2,224,6.405,3.034,34.97,0.9993,0.8435,0.9107142857142857,50
